Name,Year,Author,ISBN-10,Pages,Language,File size,File format,Category,Links
Building Research Tools with Google For Dummies,2005,Harold Davis,076457809X,366,English,10.9 MB,PDF,Marketing & SEO,http://file.allitebooks.com/20190529/Building Research Tools with Google For Dummies.pdf
Photoshop CS2 All-in-One Desk Reference For Dummies,2005,Barbara Obermeier,0764589164,704,English,45.2 MB,PDF,Photoshop,http://file.allitebooks.com/20190529/Photoshop CS2 All-in-One Desk Reference For Dummies.pdf
Excel 2003 All-in-One Desk Reference For Dummies,2003,Greg Harvey,076453758X,840,English,11.1 MB,ePub,Office,http://file.allitebooks.com/20190528/Excel 2003 All-in-One Desk Reference For Dummies.epub
Photoshop CS All-in-One Desk Reference For Dummies,201,Barbara Obermeier,0764542397,856,English,18.7 MB,PDF,Photoshop,http://file.allitebooks.com/20190528/Photoshop CS All-in-One Desk Reference For Dummies.pdf
"QuickBooks 2005 For Dummies, 2nd Edition",2004,Stephen L. Nelson,0764576615,408,English,10.4 MB,PDF,Software,"http://file.allitebooks.com/20190528/QuickBooks 2005 For Dummies, 2nd Edition.pdf"
Big Data Analytics,2016,B.L.S. Prakasa Rao,9788132236269,276,English,7.4 MB,PDF,Data Mining,http://file.allitebooks.com/20190528/Big Data Analytics.pdf
Integrating Serverless Architecture,2019,Rami Vemula,1484244885,436,English,23.4 MB,"PDF, ePub",C & C++,"http://file.allitebooks.com/20190528/Integrating Serverless Architecture.pdf , http://file.allitebooks.com/20190528/Integrating Serverless Architecture.epub"
iOS App Development For Dummies,2014,Jesse Feiler,9781118871058,576,English,55.4 MB,PDF,Programming,http://file.allitebooks.com/20190527/iOS App Development For Dummies.pdf
Web-Based Projects that Rock the Class,2019,Christos Karayiannis,1484244621,506,English,14.6 MB,"PDF, ePub",Web Development,"http://file.allitebooks.com/20190526/Web-Based Projects that Rock the Class.pdf , http://file.allitebooks.com/20190526/Web-Based Projects that Rock the Class.epub"
"Python, PyGame, and Raspberry Pi Game Development, 2nd Edition",2019,Sloan Kelly,1484245326,389,English,5.9 MB,"PDF, ePub",Python,"http://file.allitebooks.com/20190526/Python, PyGame, and Raspberry Pi Game Development, 2nd Edition.pdf , http://file.allitebooks.com/20190526/Python, PyGame, and Raspberry Pi Game Development, 2nd Edition.epub"
Progressive Web Apps with Angular,2019,Majid Hajian,1484244478,380,English,9.3 MB,"PDF, ePub",Apps,"http://file.allitebooks.com/20190524/Progressive Web Apps with Angular.pdf , http://file.allitebooks.com/20190524/Progressive Web Apps with Angular.epub"
Phoenix in Action,2019,Geoffrey Lessel,1617295043,336,English,7.6 MB,"PDF, ePub",Datebases,"http://file.allitebooks.com/20190524/Phoenix in Action.pdf , http://file.allitebooks.com/20190524/Phoenix in Action.epub"
"The IDA Pro Book, 2nd edition",2019,Chris Eagle,1593272898,672,English,5.6 MB,ePub,Programming,"http://file.allitebooks.com/20190524/The IDA Pro Book, 2nd edition.epub"
"QuickBooks Online For Dummies, 5th Edition",2019,Elaine Marmel,1119590663,320,English,14.4 MB,ePub,Software,"http://file.allitebooks.com/20190524/QuickBooks Online For Dummies, 5th Edition.epub"
Architecting Modern Data Platforms,2019,Ian Buss,149196927X,636,English,12.7 MB,ePub,Datebases,http://file.allitebooks.com/20190524/Architecting Modern Data Platforms.epub
AWS Lambda in Action,2016,Danilo Poccia,1617293717,384,English,10.6 MB,ePub,JavaScript,http://file.allitebooks.com/20190523/AWS Lambda in Action.epub
Clean Python,2019,Sunil Kapil,English,267,English,2.2 MB,"PDF, ePub",Python,"http://file.allitebooks.com/20190522/Clean Python.pdf , http://file.allitebooks.com/20190522/Clean Python.epub"
asyncio Recipes,2019,Mohamed Mustapha Tahrioui,1484244001,313,English,2.5 MB,"PDF, ePub",Python,"http://file.allitebooks.com/20190522/asyncio Recipes.pdf , http://file.allitebooks.com/20190522/asyncio Recipes.epub"
Deploying SharePoint 2019,2019,Trevor Seward,1484245253,476,English,21.7 MB,"PDF, ePub",.NET,"http://file.allitebooks.com/20190522/Deploying SharePoint 2019.pdf , http://file.allitebooks.com/20190522/Deploying SharePoint 2019.epub"
"Text Analytics with Python, 2nd Edition",2019,Dipanjan Sarkar,1484243536,674,English,17.2 MB,"PDF, ePub",Python,"http://file.allitebooks.com/20190522/Text Analytics with Python, 2nd Edition.pdf , http://file.allitebooks.com/20190522/Text Analytics with Python, 2nd Edition.epub"
"Firebug 1.5: Editing, Debugging, and Monitoring Web Pages",201,Chandan Luthra,1847194966,224,English,6.6 MB,PDF,Programming,http://file.allitebooks.com/20190521/Firebug 1.5.pdf
Foundations of Qt Development,2007,Johan Thelin,1590598318,528,English,6.3 MB,PDF,Photoshop,http://file.allitebooks.com/20190521/Foundations of Qt Development.pdf
"Core Data by Tutorials, 5th Edition",2018,Raywenderlich.com Team,1942878613,280,English,40.6 MB,"PDF, ePub",Swift,"http://file.allitebooks.com/20190520/Core Data by Tutorials, 5th Edition.pdf , http://file.allitebooks.com/20190520/Core Data by Tutorials, 5th Edition.epub"
Google Cloud Platform in Action,2018,JJ Geewax,9781617293528,632,English,16.5 MB,ePub,Services & APIs,http://file.allitebooks.com/20190520/Google Cloud Platform in Action.epub
"AutoCAD For Dummies, 18th Edition",2019,Bill Fane,1119580080,544,English,20.4 MB,PDF,CAD,"http://file.allitebooks.com/20190520/AutoCAD For Dummies, 18th Edition.pdf"
Excel 2010 Financials Cookbook,2011,Andre Odnoha,1849691185,260,English,14.3 MB,PDF,Datebases,http://file.allitebooks.com/20190519/Excel 2010 Financials Cookbook.pdf
Classic Computer Science Problems in Swift,2018,David Kopec,1617294896,224,English,2.1 MB,ePub,Swift,http://file.allitebooks.com/20190519/Classic Computer Science Problems in Swift.epub
Office 2013 Simplified,2013,Elaine Marmel,1118517172,408,English,30.7 MB,PDF,Office,http://file.allitebooks.com/20190518/Office 2013 Simplified.pdf
"The Everyday Internet All-in-One Desk Reference For Dummies, 3rd Edition",2005,Peter Weverka,0764588753,624,English,17 MB,PDF,Computer Science,"http://file.allitebooks.com/20190518/The Everyday Internet All-in-One Desk Reference For Dummies, 3rd Edition.pdf"
"Oracle High Availability, Disaster Recovery, and Cloud Services",2019,Bal Mukund Sharma,1484243501,679,English,21.2 MB,"PDF, ePub",Oracle,"http://file.allitebooks.com/20190517/Oracle High Availability, Disaster Recovery, and Cloud Services.pdf , http://file.allitebooks.com/20190517/Oracle High Availability, Disaster Recovery, and Cloud Services.epub"
Programmer’s Guide to Apache Thrift,2019,Randy Abernethy,1617296163,592,English,13.5 MB,ePub,PHP,http://file.allitebooks.com/20190517/Programmer's Guide to Apache Thrift.epub
Deep Learning For Dummies,2019,John Paul Mueller,1119543045,368,English,11.3 MB,"PDF, ePub",Programming,"http://file.allitebooks.com/20190516/Deep Learning For Dummies.pdf , http://file.allitebooks.com/20190516/Deep Learning For Dummies.epub"
Python All-in-One For Dummies,2019,Alan Simpson,1119557593,740,English,42.8 MB,"PDF, ePub",Python,"http://file.allitebooks.com/20190516/Python All-in-One For Dummies.pdf , http://file.allitebooks.com/20190516/Python All-in-One For Dummies.epub"
Automate the Boring Stuff with Python,2015,Al Sweigart,1593275994,504,English,17 MB,PDF,Python,http://file.allitebooks.com/20190515/Automate the Boring Stuff with Python.pdf
"Node.js in Action, 2nd Edition",2017,Alex R. Young,1617292575,392,English,13.5 MB,"PDF, ePub",JavaScript,"http://file.allitebooks.com/20190515/Node.js in Action, 2nd Edition.pdf , http://file.allitebooks.com/20190515/Node.js in Action, 2nd Edition.epub"
Practical Monitoring,2017,Mike Julian,1491957352,170,English,3.5 MB,"PDF, azw3",Networking & Cloud Computing,"http://file.allitebooks.com/20190515/Practical Monitoring.pdf , http://file.allitebooks.com/20190515/Practical Monitoring.azw3"
Blender Game Engine: Beginner’s Guide,2012,Victor Kuller Bacone,1849517029,206,English,11.1 MB,PDF,3D Graphics,http://file.allitebooks.com/20190514/Blender Game Engine Beginner s Guide.pdf
"Effective awk Programming, 4th Edition",2015,Arnold Robbins,1491904615,560,English,5.6 MB,ePub,Linux & Unix,"http://file.allitebooks.com/20190514/Effective awk Programming, 4th Edition.pdf"
Serverless Applications with Node.js,2019,Aleksandar Simovic,1617294721,352,English,27.4 MB,ePub,JavaScript,http://file.allitebooks.com/20190514/Serverless Applications with Nodejs.epub
Practical Recommender Systems,2019,Kim Falk,1617292702,432,English,16.4 MB,ePub,Data Mining,http://file.allitebooks.com/20190514/Practical Recommender Systems.epub
Testing Microservices with Mountebank,2019,Brandon Byars,1617294772,240,English,4.4 MB,PDF,Testing & Engineering,http://file.allitebooks.com/20190514/Testing Microservices with Mountebank.epub
Reactive Applications with Akka.NET,2019,Anthony Brown,1617292982,280,English,2.9 MB,PDF,Software,http://file.allitebooks.com/20190514/Reactive Applications with Akka.NET.epub
"Getting MEAN with Mongo, Express, Angular, and Node, 2nd Edition",2019,Clive Herber,1617294756,504,English,9.9 MB,PDF,JavaScript,"http://file.allitebooks.com/20190514/Getting MEAN with Mongo, Express, Angular, and Node, 2nd Edition.pdf"
HTML5 Boilerplate Web Development,2012,Divya Manian,1849518505,174,English,7.9 MB,PDF,"HTML, HTML5 & CSS",http://file.allitebooks.com/20190514/HTML5 Boilerplate Web Development.pdf
MVVM Survival Guide for Enterprise Architectures in Silverlight and WPF,2012,Muhammad Shujaat Siddiqi,1849683425,490,English,12.3 MB,PDF,C & C++,http://file.allitebooks.com/20190513/MVVM Survival Guide for Enterprise Architectures in Silverlight and WPF.pdf
"Windows 10 Inside Out, 3rd Edition",2019,Craig Stinson,1509307664,848,English,16.8 MB,ePub,Windows,"http://file.allitebooks.com/20190513/Windows 10 Inside Out, 3rd Edition.epub"
A Beginner’s Guide to 3D Modeling,2019,Cameron Coward,1593279264,152,English,23.2 MB,ePub,3D Printing,http://file.allitebooks.com/20190513/A Beginner's Guide to 3D Modeling.epub
"Camel in Action, 2nd Edition",2019,Claus Ibsen,1617292931,912,English,11.3 MB,ePub,Java,"http://file.allitebooks.com/20190512/Camel in Action, 2nd Edition.epub"
Prometheus: Up & Running,2018,Brian Brazil,1492034142,386,English,10.6 MB,PDF,Cloud Computing,http://file.allitebooks.com/20190512/Prometheus Up  Running.pdf
Sams Teach Yourself Visual Basic 2015 in 24 Hours,2015,James Foxall,9780672337451,608,English,39.6 MB,ePub,Visual Basic,http://file.allitebooks.com/20190512/Sams Teach Yourself Visual Basic 2015 in 24 Hours.epub
Pro Oracle SQL Development,2019,Jon Heller,1484245164,596,English,7.7 MB,"PDF, ePub",Oracle,"http://file.allitebooks.com/20190512/Pro Oracle SQL Development.pdf , http://file.allitebooks.com/20190512/Pro Oracle SQL Development.epub"
"Unix Power Tools, 3rd Edition",2002,Jerry Peek,9780596003302,1200,English,11.3 MB,PDF,Linux & Unix,"http://file.allitebooks.com/20190511/Unix Power Tools, 3rd Edition.pdf"
Drupal Multimedia,2008,Aaron Winborn,9781847194602,264,English,9.8 MB,PDF,CMS,http://file.allitebooks.com/20190511/Drupal Multimedia.pdf
From Bash to Z Shell,2005,Jerry Peek,1590593766,472,English,14.4 MB,"PDF, ePub",Linux & Unix,"http://file.allitebooks.com/20190510/From Bash to Z Shell.pdf , http://file.allitebooks.com/20190510/From Bash to Z Shell.epub"
Data Center Fundamentals,2003,Mauricio Arregoces,1587050234,1104,English,14.5 MB,PDF,"Networks, Protocols & APIs",http://file.allitebooks.com/20190510/Data Center Fundamentals.pdf
Pentaho Data Integration 4 Cookbook,2011,Adrián Sergio Pulvirenti,1849515247,352,English,5.2 MB,PDF,Data Processing,http://file.allitebooks.com/20190510/Pentaho Data Integration 4 Cookbook.pdf
Continuous Delivery in Java,2018,Abraham Marín-Pérez,1491986026,482,English,10.2 MB,ePub,Java,http://file.allitebooks.com/20190509/Continuous Delivery in Java.epub
RxJava for Android Developers,2019,Timo Tuominen,1617293369,512,English,11.9 MB,ePub,Programming,http://file.allitebooks.com/20190509/RxJava for Android Developers.epub
Rethinking Productivity in Software Engineering,2019,Caitlin Sadowski,1484242203,310,English,4.9 MB,"PDF, ePub",Programming,"http://file.allitebooks.com/20190509/Rethinking Productivity in Software Engineering.pdf , http://file.allitebooks.com/20190509/Rethinking Productivity in Software Engineering.epub"
Regular Expressions Cookbook,2009,Jan Goyvaerts,0596520689,510,English,4.1 MB,PDF,JavaScript,http://file.allitebooks.com/20190509/Regular Expressions Cookbook.pdf
"Excel VBA Programming For Dummies, 5th Edition",2019,John Walkenbach,1119518172,416,English,7.1 MB,PDF,Office,"http://file.allitebooks.com/20190509/Excel VBA Programming For Dummies, 5th Edition.pdf"
"Python Crash Course, 2nd Edition",2019,Eric Matthes,1593279280,544,English,7.4 MB,"PDF, ePub",Python,"http://file.allitebooks.com/20190508/Python Crash Course, 2nd Edition.pdf , http://file.allitebooks.com/20190506/Python Crash Course, 2nd Edition.epub"
Practical Oracle JET,2019,Daniel Curtis,1484243455,236,English,6.5 MB,"PDF, ePub",Oracle,"http://file.allitebooks.com/20190508/Practical Oracle JET.pdf , http://file.allitebooks.com/20190508/Practical Oracle JET.epub"
"Active Directory Cookbook, 3rd Edition",2008,Laura E. Hunter,0596521103,1092,English,8.1 MB,PDF,Networking & Cloud Computing,"http://file.allitebooks.com/20190508/Active Directory Cookbook, 3rd Edition.pdf"
"The Official (ISC)2 Guide to the CISSP CBK Reference, 5th Edition",2019,Ben Malisow (Contributor),1119423341,1000,English,7.8 MB,PDF,Network Security,"http://file.allitebooks.com/20190507/The Official (ISC)2 Guide to the CISSP CBK Reference, 5th Edition.pdf"
CompTIA A+ Complete Study Guide,2009,Emmett Dulaney,9780470486498,1152,English,28.9 MB,PDF,Certification,http://file.allitebooks.com/20190507/CompTIA A Complete Study Guide.pdf
Alexa For Dummies,2019,Paul McFedries,1119565863,299,English,15.6 MB,PDF,Software,http://file.allitebooks.com/20190506/Alexa For Dummies.pdf
Photoshop Elements 4 For Dummies,2006,Barbara Obermeier,0471774839,380,English,27.9 MB,PDF,Photoshop,http://file.allitebooks.com/20190506/Photoshop Elements 4 For Dummies.pdf
Swift in Depth,2018,Tjeerd in 't Veen,1617295183,376,English,4.5 MB,PDF,Swift,http://file.allitebooks.com/20190506/Swift in Depth.epub
Building Ethereum DApps,2019,Roberto Infante,1617295159,504,English,9.3 MB,ePub,Programming,http://file.allitebooks.com/20190506/Building Ethereum DApps.epub
"C# in Depth, 4th Edition",2019,Jon Skeet,1617294535,528,English,5 MB,"PDF, ePub",C#,"http://file.allitebooks.com/20190505/Csharp.in.Depth.4th.Edition.pdf , http://file.allitebooks.com/20190505/Csharp.in.Depth.4th.Edition.epub"
Think Julia,2019,Allen B. Downey,1492045039,296,English,10.6 MB,ePub,Programming,http://file.allitebooks.com/20190505/Think Julia.epub
Microsoft Office Project 2007 All-in-One Desk Reference For Dummies,2007,Elaine Marmel,0470137673,740,English,45.7 MB,PDF,Office,http://file.allitebooks.com/20190505/Microsoft Office Project 2007 All-in-One Desk Reference For Dummies.pdf
"(ISC)2 SSCP Systems Security Certified Practitioner Official Study Guide, 2nd Edition",2019,Mike Wills,1119542944,560,English,15.2 MB,PDF,Certification,"http://file.allitebooks.com/20190504/(ISC)2 SSCP Systems Security Certified Practitioner Official Study Guide, 2nd Edition.pdf"
"Statistical Analysis with Excel For Dummies, 2nd Edition",2009,Joseph Schmuller,0470454067,508,English,18.7 MB,PDF,Computer Science,"http://file.allitebooks.com/20190503/Statistical Analysis with Excel For Dummies, 2nd Edition.pdf"
Teach Yourself VISUALLY Adobe Photoshop Lightroom 2,2008,Lynette Kent,0470264357,352,English,153.6 MB,PDF,Photoshop,http://file.allitebooks.com/20190502/Teach Yourself VISUALLY Adobe Photoshop Lightroom 2.pdf
Office 2010 All-in-One For Dummies,2010,Peter Weverka,9780470497487,816,English,23.3 MB,PDF,Office,http://file.allitebooks.com/20190502/Office 2010 All-in-One For Dummies.pdf
Excel 2010 All-in-One For Dummies,2010,Greg Harvey,0470489596,792,English,17.3 MB,PDF,Office,http://file.allitebooks.com/20190502/Excel 2010 All-in-One For Dummies.pdf
Photoshop Elements 8 For Dummies,2009,Barbara Obermeier,0470529679,416,English,23.1 MB,PDF,Photoshop,http://file.allitebooks.com/20190502/Photoshop Elements 8 For Dummies.pdf
Professional Microsoft PowerPivot for Excel and SharePoint,2010,Denny Guang-Yeu Lee,0470587377,384,English,23.3 MB,PDF,Office,http://file.allitebooks.com/20190502/Professional Microsoft PowerPivot for Excel and SharePoint.pdf
Beginning Azure IoT Edge Computing,2019,David Jensen,1484245350,265,English,9.2 MB,"PDF, ePub",.NET,"http://file.allitebooks.com/20190430/Beginning Azure IoT Edge Computing.pdf , http://file.allitebooks.com/20190430/Beginning Azure IoT Edge Computing.epub"
AWS for Developers For Dummies,2019,John Paul Mueller,1119371848,384,English,16.5 MB,"PDF, ePub",Cloud Computing,"http://file.allitebooks.com/20190430/AWS for Developers For Dummies.Pdf , http://file.allitebooks.com/20190430/AWS for Developers For Dummies.epub"
Build Your Own IoT Platform,2019,Anand Tamboli,1484244974,221,English,4.4 MB,"PDF, ePub",Programming,"http://file.allitebooks.com/20190430/Build Your Own IoT Platform.pdf , http://file.allitebooks.com/20190430/Build Your Own IoT Platform.epub"
"CompTIA A+ Complete Study Guide, 4th Edition",2019,Jon Buhagiar,1119515939,1696,English,214 MB,PDF,Certification,"http://file.allitebooks.com/20190429/CompTIA A+ Complete Study Guide, 4th Edition.pdf"
"Practical Haskell, 2nd Edition",2019,Alejandro Serrano Mena,1484244796,595,English,5.9 MB,"PDF, ePub",Programming,"http://file.allitebooks.com/20190429/Practical Haskell, 2nd Edition.pdf , http://file.allitebooks.com/20190429/Practical Haskell, 2nd Edition.epub"
Learn Computer Vision Using OpenCV,2019,Sunila Gollapudi,1484242602,151,English,6.3 MB,"PDF, ePub",Python,"http://file.allitebooks.com/20190429/Learn Computer Vision Using OpenCV.pdf , http://file.allitebooks.com/20190429/Learn Computer Vision Using OpenCV.epub"
Agile Project Management with Azure DevOps,2019,Joachim Rossberg,1484244826,315,English,8.9 MB,"PDF, ePub",Hardware & DIY,"http://file.allitebooks.com/20190429/Agile Project Management with Azure DevOps.pdf , http://file.allitebooks.com/20190429/"
Adobe Analytics For Dummies,2019,David Karlins,1119446082,400,English,44.3 MB,"PDF, ePub",Marketing & SEO,"http://file.allitebooks.com/20190428/Adobe Analytics For Dummies.pdf , http://file.allitebooks.com/20190428/Adobe Analytics For Dummies.epub"
OCA Oracle Database 11g,2011,Steve Ries,1849683646,460,English,25 MB,ePub,Oracle,http://file.allitebooks.com/20190428/OCA Oracle Database 11g.epub
Windows Server 2019 & PowerShell All-in-One For Dummies,2019,Sara Perrott,1119560713,768,English,24.6 MB,PDF,Windows,http://file.allitebooks.com/20190428/Windows Server 2019  PowerShell All-in-One For Dummies.pdf
